text,sentiment,clean_text
My Sanyo has survived dozens of drops on blacktop without ill effect.,positive,sanyo survived dozens drops blacktop without ill effect
Fantastic earphones.,positive,fantastic earphones
It finds my cell phone right away when I enter the car.,positive,finds cell phone right away enter car
Low Quality.,negative,low quality
I highly recommend this modest priced cellular phone.,positive,highly recommend modest priced cellular phone
But it does get better reception and clarity than any phone I've had before.,positive,get better reception clarity phone ive
Warning - Stay away.,negative,warning stay away
I wish I could return the unit and get back my money.,negative,wish could return unit get back money
Awsome Device Works Great!!.,positive,awsome device works great
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,negative,used talk hours battery would literally drained dying
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",negative,dont find bad unit comes one earpad onlyi would recommend anyone
Very Displeased.,negative,displeased
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",negative,might gotten defect would risk buying built quality alone
They made this case too small and is very difficult to install.,negative,made case small difficult install
Restored my phone to like new performance.,positive,restored phone like new performance
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",positive,would recommend purchasing jabra jx series works flawlessly moto q go figure
"I searched the Internet, and found this one to be the best value.",positive,searched internet found one best value
Does not fit.,negative,fit
Very happy with this product.,positive,happy product
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",positive,screen size big key pad lit well enough camera quality excellent camera phone
There's really nothing bad I can say about this headset.,negative,theres really nothing bad say headset
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",positive,im glad found product amazon hard find wasnt high priced
Portable and it works.,positive,portable works
"My colleague & I now get great reception.A little expensive, but performance is great.",positive,colleague get great receptiona little expensive performance great
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,negative,even fully charged went bed turned blue tooth wifi noticed left morning
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,negative,ive also problems phone reading memory card always turn
Not good when wearing a hat or sunglasses.,negative,good wearing hat sunglasses
Timely shipment and quality product.,positive,timely shipment quality product
Nice solid keyboard.,positive,nice solid keyboard
Very well made and fits my Surefire GX2 perfectly.,positive,well made fits surefire gx perfectly
Horrible phone.,negative,horrible phone
